film_id,character_id,canonical_name,raw_speaker_labels,gender,gender_rationale,is_protagonist,is_named,included_in_network,utterance_count,word_count_spoken_only,word_count_song_only,notes
beautyandthebeast_1991,beautyandthebeast_1991_belle,Belle,BELLE | BELLE (O.S.),F,,True,True,True,168,3950,174,
beautyandthebeast_1991,beautyandthebeast_1991_beast,Beast,BEAST | BEAST (O.S.),M,,False,True,True,69,1139,0,
beautyandthebeast_1991,beautyandthebeast_1991_gaston,Gaston,GASTON | GASTON (O.S.),M,,False,True,True,61,1121,85,
beautyandthebeast_1991,beautyandthebeast_1991_maurice,Maurice,MAURICE | MAURICE (O.S.),M,,False,True,True,61,1656,0,
beautyandthebeast_1991,beautyandthebeast_1991_mantleclock,Mantleclock,MANTLECLOCK | MANTLECLOCK (O.S.),M,,False,True,True,55,1291,31,
beautyandthebeast_1991,beautyandthebeast_1991_candelabra,Candelabra,CANDELABRA | CANDELABRA (.O.S.) | CANDELABRA (O.S.),M,,False,True,True,50,811,66,
beautyandthebeast_1991,beautyandthebeast_1991_teapot,Teapot,TEAPOT | TEAPOT (O.S.),F,,False,True,True,38,635,56,
beautyandthebeast_1991,beautyandthebeast_1991_lefou,Lefou,LEFOU | LEFOU (O.S.),M,,False,True,True,28,489,28,
beautyandthebeast_1991,beautyandthebeast_1991_wardrobe,Wardrobe,WARDROBE | WARDROBE (O.S.),F,,False,True,True,23,450,0,corrected gender M→F (Madame de la Grande Bouche)
beautyandthebeast_1991,beautyandthebeast_1991_monsieur_d_arque,Monsieur D'Arque,MONSIEUR D'ARQUE,M,,False,False,True,6,110,0,
beautyandthebeast_1991,beautyandthebeast_1991_music_box,Music Box,MUSIC BOX,M,,False,False,True,6,154,0,
beautyandthebeast_1991,beautyandthebeast_1991_chip,Chip,CHIP,M,,False,True,True,5,22,0,
beautyandthebeast_1991,beautyandthebeast_1991_objects,Objects,OBJECTS | OBJECTS (CONT. O.S.) | OBJECTS (CONT.),Both,,False,False,True,5,55,38,
beautyandthebeast_1991,beautyandthebeast_1991_tavern_keeper,Tavern Keeper,TAVERN KEEPER,M,,False,False,True,5,34,0,
beautyandthebeast_1991,beautyandthebeast_1991_cronie,Cronie,CRONIE,M,,False,False,False,4,50,0,
beautyandthebeast_1991,beautyandthebeast_1991_featherduster,Featherduster,FEATHERDUSTER,F,,False,False,False,4,49,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker,Baker,BAKER,M,,False,False,False,3,31,0,
beautyandthebeast_1991,beautyandthebeast_1991_bookseller,Bookseller,BOOKSELLER,M,,False,False,False,3,18,0,
beautyandthebeast_1991,beautyandthebeast_1991_brush,Brush,BRUSH,F,,False,False,False,2,8,0,
beautyandthebeast_1991,beautyandthebeast_1991_comb,Comb,COMB,M,,False,False,False,2,6,0,
beautyandthebeast_1991,beautyandthebeast_1991_patron,Patron,PATRON,M,,False,False,False,2,26,0,
beautyandthebeast_1991,beautyandthebeast_1991_pedestrian,Pedestrian,PEDESTRIAN,Unknown,,False,False,False,2,29,0,
beautyandthebeast_1991,beautyandthebeast_1991_stove,Stove,STOVE,M,,False,False,False,2,44,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_butcher,A Butcher,A BUTCHER,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_merchant,A Merchant,A MERCHANT,M,,False,False,False,1,16,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_milkmaid,A Milkmaid,A MILKMAID,F,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_mother,A Mother,A MOTHER,F,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_prisoner,A Prisoner,A PRISONER,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_wife,A Wife,A WIFE,F,,False,False,False,1,10,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker_and_fishmonger,Baker And Fishmonger,BAKER AND FISHMONGER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker_s_customer,Baker'S Customer,BAKER'S CUSTOMER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_belle_the_duke,Belle/ The Duke,BELLE/ THE DUKE,Both,,False,False,False,1,23,0,
beautyandthebeast_1991,beautyandthebeast_1991_blacksmith,Blacksmith,BLACKSMITH,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_both_customers,Both Customers,BOTH CUSTOMERS,Both,,False,False,False,1,14,0,
beautyandthebeast_1991,beautyandthebeast_1991_cheese_buyer,Cheese Buyer,CHEESE BUYER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_duke,Duke,DUKE,M,,False,False,False,1,23,0,
beautyandthebeast_1991,beautyandthebeast_1991_elderly_woman,Elderly Woman,ELDERLY WOMAN,F,,False,False,False,1,18,0,
beautyandthebeast_1991,beautyandthebeast_1991_fabric_buyer,Fabric Buyer,FABRIC BUYER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_fishmonger_s_customer,Fishmonger'S Customer,FISHMONGER'S CUSTOMER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_footstool,Footstool,FOOTSTOOL,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_fruit_shopper,Fruit Shopper,FRUIT SHOPPER,M,,False,False,False,1,10,0,
beautyandthebeast_1991,beautyandthebeast_1991_handsome_brute,Handsome Brute.,HANDSOME BRUTE.,M,,False,False,False,1,100,0,
beautyandthebeast_1991,beautyandthebeast_1991_lady,Lady,LADY,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_lady_s_friend,Lady'S Friend,LADY'S FRIEND,M,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_large_man,Large Man,LARGE MAN,M,,False,False,False,1,16,0,
beautyandthebeast_1991,beautyandthebeast_1991_maitre_d,Maitre 'D,MAITRE 'D,M,,False,False,False,1,36,0,
beautyandthebeast_1991,beautyandthebeast_1991_man_in_a_cart,Man In A Cart,MAN IN A CART,M,,False,False,False,1,7,0,
beautyandthebeast_1991,beautyandthebeast_1991_matronly_woman,Matronly Woman,MATRONLY WOMAN,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_neighbor,Neighbor,NEIGHBOR,M,,False,False,False,1,3,0,
beautyandthebeast_1991,beautyandthebeast_1991_neighbor_s_wife,Neighbor'S Wife,NEIGHBOR'S WIFE,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_shopkeeper,Shopkeeper,SHOPKEEPER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_silly_girls,Silly Girls,SILLY GIRLS,F,,False,False,False,1,0,27,
beautyandthebeast_1991,beautyandthebeast_1991_tavern_owner,Tavern Owner,TAVERN OWNER,M,,False,False,False,1,5,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsfolk,Townsfolk,TOWNSFOLK,Both,,False,False,False,1,15,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsfolk_merchants,Townsfolk & Merchants,TOWNSFOLK & MERCHANTS,Both,,False,False,False,1,21,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsperson,Townsperson,TOWNSPERSON,M,,False,False,False,1,20,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsperson_s_friend,Townsperson'S Friend,TOWNSPERSON'S FRIEND,M,,False,False,False,1,26,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsperson_s_wife,Townsperson'S Wife,TOWNSPERSON'S WIFE,F,,False,False,False,1,6,0,
beautyandthebeast_1991,beautyandthebeast_1991_villager,Villager,VILLAGER,M,,False,False,False,1,19,0,
toy_story_1995,toy_story_1995_woody,Woody,WOODY | WOODY (AS BUZZ) | WOODY (O.S.) | WOODY (V.O.) | WOODY (VOICE BOX),M,,True,True,True,279,2250,30,
toy_story_1995,toy_story_1995_buzz,Buzz,BUZZ | BUZZ (O.S.) | BUZZ (O.S.; SAMPLED VOICE) | BUZZ (SAMPLED VOICE),M,,False,True,True,143,1179,0,
toy_story_1995,toy_story_1995_sid,Sid,SID | SID (AS ASTRONAUT) | SID (O.S.) | SID (O.S.; AS ASTRONAUT),M,,False,True,True,58,397,0,
toy_story_1995,toy_story_1995_andy,Andy,ANDY | ANDY (AS BO PEEP) | ANDY (AS DINOSAUR) | ANDY (AS POTATO HEAD) | ANDY (AS SHEEP) | ANDY (AS SLINKY DOG) | ANDY (AS WOODY) | ANDY (O.S.),M,,False,True,True,57,305,5,
toy_story_1995,toy_story_1995_mr_potato_head,Mr. Potato Head,MR. POTATO HEAD | MR. POTATO HEAD (O.S.),M,,False,True,True,52,406,0,
toy_story_1995,toy_story_1995_rex,Rex,REX | REX (O.S.),M,,False,True,True,51,372,0,
toy_story_1995,toy_story_1995_slinky,Slinky,SLINKY | SLINKY (O.S.),M,,False,True,True,34,221,0,
toy_story_1995,toy_story_1995_hamm,Hamm,HAMM,M,,False,True,True,33,225,0,
toy_story_1995,toy_story_1995_mrs_davis,Mrs. Davis,MRS. DAVIS | MRS. DAVIS (O.S.),F,,False,True,True,28,227,0,
toy_story_1995,toy_story_1995_sargent,Sargent,SARGENT | SARGENT (O.S.),M,,False,True,True,24,196,8,
toy_story_1995,toy_story_1995_bo_peep,Bo Peep,BO PEEP | BO PEEP (O.S.),F,,False,True,True,23,147,0,
toy_story_1995,toy_story_1995_hannah,Hannah,HANNAH | HANNAH (O.S.),F,,False,True,True,23,103,4,
toy_story_1995,toy_story_1995_tv_announcer,Tv Announcer,TV ANNOUNCER (V.O.),F,,False,False,True,8,57,0,
toy_story_1995,toy_story_1995_lenny,Lenny,LENNY | LENNY (O.S.),M,,False,True,True,5,31,0,
toy_story_1995,toy_story_1995_pizza_deliverer,Pizza Deliverer,PIZZA DELIVERER (O.S.),M,,False,False,True,5,43,0,
toy_story_1995,toy_story_1995_toys,Toys,TOYS,Unknown,,False,False,True,5,5,0,
toy_story_1995,toy_story_1995_aliens,Aliens,ALIENS,Unknown,,False,False,False,4,27,0,
toy_story_1995,toy_story_1995_attendant,Attendant,ATTENDANT (O.S.),M,,False,False,False,3,8,0,
toy_story_1995,toy_story_1995_male_chorus,Male Chorus,MALE CHORUS (V.O.),M,,False,False,False,2,4,0,
toy_story_1995,toy_story_1995_mr_spell,Mr. Spell,MR. SPELL,M,,False,True,False,2,6,0,
toy_story_1995,toy_story_1995_rc_car,Rc Car,RC CAR,M,,False,True,False,2,5,0,
toy_story_1995,toy_story_1995_robot_guards,Robot Guards,ROBOT GUARDS,M,,False,True,False,2,18,0,
toy_story_1995,toy_story_1995_sid_s_mom,Sid'S Mom,SID'S MOM (O.S.),F,,False,True,False,2,6,0,
toy_story_1995,toy_story_1995_space_commander,Space Commander,SPACE COMMANDER | SPACE COMMANDER (O.S.; ON TV),M,,False,True,False,2,29,0,
toy_story_1995,toy_story_1995_tv_buzz,Tv Buzz,TV BUZZ | TV BUZZ (SAMPLED VOICE),M,,False,True,False,2,11,0,
toy_story_1995,toy_story_1995_alien,Alien,ALIEN,M,,False,True,False,1,7,0,
toy_story_1995,toy_story_1995_female_voice_over_speaker,Female Voice Over Speaker,FEMALE VOICE OVER SPEAKER,F,,False,False,False,1,13,0,
toy_story_1995,toy_story_1995_local_announcer,Local Announcer,LOCAL ANNOUNCER (V.O.),M,,False,False,False,1,11,0,
toy_story_1995,toy_story_1995_male_voice_over_speaker,Male Voice Over Speaker,MALE VOICE OVER SPEAKER,M,,False,False,False,1,10,0,
toy_story_1995,toy_story_1995_mike,Mike,MIKE,M,,False,True,False,1,1,0,
toy_story_1995,toy_story_1995_mom,Mom,MOM (O.S.),F,,False,True,False,1,5,0,
toy_story_1995,toy_story_1995_robot,Robot,ROBOT,M,,False,True,False,1,5,0,
toy_story_1995,toy_story_1995_shark,Shark,SHARK,M,,False,True,False,1,6,0,
toy_story_1995,toy_story_1995_slinky_rex,Slinky & Rex,SLINKY & REX,M,,False,True,False,1,1,0,
toy_story_1995,toy_story_1995_wounded_soldier,Wounded Soldier,WOUNDED SOLDIER,M,,False,True,False,1,6,0,
up,up_carl,Carl,CARL | CARL (O.S.) | YOUNG CARL,M,,True,True,True,245,1547,0,
up,up_russell,Russell,RUSSELL | RUSSELL (O.S.),M,,False,True,True,208,1515,0,
up,up_muntz,Muntz,MUNTZ | MUNTZ (O.S.),M,,False,True,True,57,594,0,
up,up_dug,Dug,DUG | DUG (O.S.),M,,False,True,True,49,483,0,
up,up_ellie,Ellie,YOUNG ELLIE | YOUNG ELLIE (O.S.),F,,False,True,True,31,325,0,
up,up_alpha,Alpha,ALPHA | ALPHA (CONT'D),M,,False,True,True,22,250,0,
up,up_newsreel_announcer,Newsreel Announcer,NEWSREEL ANNOUNCER (O.S.) | NEWSREEL ANNOUNCER (V.O.),M,,False,False,False,17,184,0,
up,up_gamma,Gamma,GAMMA | GAMMA (O.S.),M,,False,True,True,15,83,0,
up,up_beta,Beta,BETA,M,,False,True,True,12,103,0,
up,up_voice,Voice,VOICE | VOICE (O.S.),Unknown,,False,False,False,8,68,0,
up,up_construction_foreman_tom,Construction Foreman Tom,CONSTRUCTION FOREMAN TOM,M,,False,True,True,7,74,0,
up,up_dog_walla,Dog Walla,DOG WALLA,Unknown,,False,False,False,6,59,0,"film sound term (background dog murmur), not a character"
up,up_camp_master_strauch,Camp Master Strauch,CAMP MASTER STRAUCH,M,,False,True,True,5,62,0,
up,up_construction_worker_steve,Construction Worker Steve,CONSTRUCTION WORKER STEVE,M,,False,True,False,4,26,0,
up,up_girl_s_voice,Girl'S Voice,GIRL'S VOICE (O.S.),F,,False,False,False,4,48,0,
up,up_nurse_george,Nurse George,NURSE GEORGE,M,,False,True,False,3,25,0,
up,up_dogs,Dogs,DOGS,Both,,False,False,False,2,21,0,collective
up,up_officer_edith,Officer Edith,OFFICER EDITH,F,,False,True,False,2,30,0,
up,up_omega,Omega,OMEGA,M,,False,True,False,2,8,0,
up,up_carl_russell,Carl/Russell,CARL/RUSSELL,M,,False,False,False,1,1,0,combined-speaker label
up,up_crowd,Crowd,CROWD,Both,,False,False,False,1,1,0,collective
up,up_misc_dog,Misc Dog,MISC DOG,Unknown,,False,False,False,1,6,0,
up,up_nurse_a_j,Nurse A.J.,NURSE A.J.,M,,False,True,False,1,11,0,
toy_story_3_2010,toy_story_3_2010_woody,Woody,WOODY | WOODY (CONT'D) | WOODY (CONT’D) | WOODY (O.C.) | WOODY (O.S.) | WOODY (V.O.),M,,True,True,True,183,2698,0,
toy_story_3_2010,toy_story_3_2010_buzz,Buzz,BUZZ | BUZZ (CONT'D) | BUZZ (O.S.),M,,False,True,True,96,1169,0,
toy_story_3_2010,toy_story_3_2010_jessie,Jessie,JESSIE | JESSIE (CONT'D) | JESSIE (O.C.) | JESSIE (O.S.),F,,False,True,True,82,1189,0,
toy_story_3_2010,toy_story_3_2010_lotso,Lotso,LOTSO | LOTSO (CONT'D) | LOTSO (O.S.),M,,False,True,True,77,1308,0,
toy_story_3_2010,toy_story_3_2010_ken,Ken,KEN | KEN (CONT'D) | KEN (O.C.) | KEN (O.S.),M,,False,True,True,69,864,0,
toy_story_3_2010,toy_story_3_2010_rex,Rex,REX | REX (CONT'D) | REX (O.S.),M,,False,True,True,62,727,0,
toy_story_3_2010,toy_story_3_2010_mr_potato_head,Mr. Potato Head,MR. POTATO HEAD | MR. POTATO HEAD (CONT'D) | MR. POTATO HEAD (O.C.) | MR. POTATO HEAD (O.S.),M,,False,True,True,61,780,0,
toy_story_3_2010,toy_story_3_2010_hamm,Hamm,HAMM | HAMM (O.C.) | HAMM (O.S.),M,,False,True,True,57,503,0,
toy_story_3_2010,toy_story_3_2010_andy,Andy,ANDY | ANDY (AS WOODY) | ANDY (CONT'D) | ANDY (CONT’D) | ANDY (O.C.) | ANDY (O.S.) | YOUNG ANDY | YOUNG ANDY (AS BUZZ) | YOUNG ANDY (AS WOODY),M,,False,True,True,47,623,0,
toy_story_3_2010,toy_story_3_2010_mrs_potato_head,Mrs. Potato Head,MRS. POTATO HEAD | MRS. POTATO HEAD (CONT'D) | MRS. POTATO HEAD (V.O) | MRS. POTATO HEAD (V.O.),F,,False,True,True,47,548,0,
toy_story_3_2010,toy_story_3_2010_barbie,Barbie,BARBIE | BARBIE (CONT'D) | BARBIE (O.C.),F,,False,True,True,34,405,0,
toy_story_3_2010,toy_story_3_2010_bonnie,Bonnie,BONNIE | BONNIE (AS WOODY) | BONNIE (CONT'D) | BONNIE (CONT’D) | BONNIE (O.S.),F,,False,True,True,28,388,0,
toy_story_3_2010,toy_story_3_2010_mom,Mom,MOM | MOM (CONT'D) | MOM (O.C.) | MOM (O.S.),F,,False,True,True,28,385,0,
toy_story_3_2010,toy_story_3_2010_slinky,Slinky,SLINKY | SLINKY (CONT'D) | SLINKY (O.S.),M,,False,True,True,28,269,0,
toy_story_3_2010,toy_story_3_2010_molly,Molly,MOLLY | MOLLY (O.C.) | MOLLY (O.S.),F,,False,True,True,16,123,0,
toy_story_3_2010,toy_story_3_2010_lifer,Lifer,LIFER | LIFER (CONT'D) | LIFER (V.O.),M,,False,True,True,15,206,0,
toy_story_3_2010,toy_story_3_2010_spanish_buzz,Spanish Buzz,SPANISH BUZZ | SPANISH BUZZ (CONT'D),M,,False,True,True,14,205,0,
toy_story_3_2010,toy_story_3_2010_chuckles,Chuckles,CHUCKLES | CHUCKLES (V.O.) | YOUNG CHUCKLES,M,,False,True,True,12,196,0,
toy_story_3_2010,toy_story_3_2010_mr_pricklepants,Mr. Pricklepants,MR. PRICKLEPANTS | MR. PRICKLEPANTS (O.S.),M,,False,True,True,12,89,0,
toy_story_3_2010,toy_story_3_2010_trixie,Trixie,TRIXIE,F,,False,True,True,8,72,0,
toy_story_3_2010,toy_story_3_2010_buttercup,Buttercup,BUTTERCUP | BUTTERCUP (CONT'D),M,,False,True,True,7,63,0,
toy_story_3_2010,toy_story_3_2010_one_eyed_bart,One-Eyed Bart,ONE-EYED BART,M,,False,True,True,7,142,0,
toy_story_3_2010,toy_story_3_2010_aliens,Aliens,ALIENS,Unknown,,False,False,False,6,74,0,collective
toy_story_3_2010,toy_story_3_2010_in_the_bag,In The Bag,IN THE BAG,Unknown,,False,False,False,6,61,0,parser artifact (scene direction)
toy_story_3_2010,toy_story_3_2010_dolly,Dolly,DOLLY,F,,False,True,True,5,38,0,
toy_story_3_2010,toy_story_3_2010_twitch,Twitch,TWITCH,M,,False,True,True,5,84,0,
toy_story_3_2010,toy_story_3_2010_receptionist,Receptionist,RECEPTIONIST,Unknown,,False,False,False,4,22,0,
toy_story_3_2010,toy_story_3_2010_sarge,Sarge,SARGE,M,,False,True,False,4,59,0,
toy_story_3_2010,toy_story_3_2010_stretch,Stretch,STRETCH | STRETCH (CONT'D),F,,False,True,False,4,35,0,
toy_story_3_2010,toy_story_3_2010_toys,Toys,TOYS,Both,,False,False,False,4,8,0,collective
toy_story_3_2010,toy_story_3_2010_bookworm,Bookworm,BOOKWORM | BOOKWORM (O.S.),M,,False,True,False,3,69,0,
toy_story_3_2010,toy_story_3_2010_chunk,Chunk,CHUNK,M,,False,True,False,3,29,0,
toy_story_3_2010,toy_story_3_2010_garbage_man_one,Garbage Man One,GARBAGE MAN ONE (CONT'D) | GARBAGE MAN ONE (O.S.),M,,False,False,False,3,21,0,
toy_story_3_2010,toy_story_3_2010_big_baby,Big Baby,BIG BABY,Unknown,,False,True,False,2,23,0,
toy_story_3_2010,toy_story_3_2010_gang,Gang,GANG | GANG (O.S.),Both,,False,False,False,2,42,0,collective
toy_story_3_2010,toy_story_3_2010_janitor,Janitor,JANITOR | JANITOR (CONT’D),M,,False,False,False,2,17,0,
toy_story_3_2010,toy_story_3_2010_outside_the_bag,Outside The Bag,OUTSIDE THE BAG,Unknown,,False,False,False,2,15,0,parser artifact (scene direction)
toy_story_3_2010,toy_story_3_2010_sparks,Sparks,SPARKS,M,,False,True,False,2,10,0,
toy_story_3_2010,toy_story_3_2010_the_toy_chest,The Toy Chest,THE TOY CHEST,Unknown,,False,False,False,2,18,0,parser artifact (scene direction)
toy_story_3_2010,toy_story_3_2010_unicorn,Unicorn,UNICORN,M,,False,False,False,2,9,0,possible duplicate of Buttercup
toy_story_3_2010,toy_story_3_2010_alien,Alien,ALIEN,M,,False,True,False,1,7,0,
toy_story_3_2010,toy_story_3_2010_both,Both,BOTH,Both,,False,False,False,1,1,0,collective
toy_story_3_2010,toy_story_3_2010_butterfly_room_teacher,Butterfly Room Teacher,BUTTERFLY ROOM TEACHER,F,,False,False,False,1,23,0,
toy_story_3_2010,toy_story_3_2010_doll,Doll,DOLL,Unknown,,False,False,False,1,11,0,
toy_story_3_2010,toy_story_3_2010_evil_dr_porkchop,Evil Dr. Porkchop,EVIL DR. PORKCHOP,M,,False,True,False,1,17,0,
toy_story_3_2010,toy_story_3_2010_frog,Frog,FROG,Unknown,,False,False,False,1,17,0,
toy_story_3_2010,toy_story_3_2010_galloping_hooves,Galloping Hooves,GALLOPING HOOVES,Unknown,,False,False,False,1,11,0,parser artifact (scene direction)
toy_story_3_2010,toy_story_3_2010_garbage_man_two,Garbage Man Two,GARBAGE MAN TWO (O.S.),M,,False,False,False,1,2,0,
toy_story_3_2010,toy_story_3_2010_jack_in_the_box,Jack In The Box,JACK IN THE BOX,M,,False,False,False,1,17,0,
toy_story_3_2010,toy_story_3_2010_ken_barbie,Ken & Barbie,KEN & BARBIE,Both,,False,False,False,1,13,0,combined-speaker label
toy_story_3_2010,toy_story_3_2010_soldier_two,Soldier Two,SOLDIER TWO,M,,False,False,False,1,14,0,
toy_story_3_2010,toy_story_3_2010_teacher,Teacher,TEACHER,F,,False,False,False,1,31,0,
toy_story_3_2010,toy_story_3_2010_triceratops,Triceratops,TRICERATOPS,F,,False,False,False,1,2,0,possible duplicate of Trixie
toy_story_3_2010,toy_story_3_2010_voice,Voice,VOICE (O.S.),Unknown,,False,False,False,1,18,0,
cars2,cars2_mater,Mater,MATER | MATER (CONT'D),M,,True,True,True,277,2823,23,
cars2,cars2_mcqueen,Mcqueen,MCQUEEN,M,,False,True,True,147,1324,0,
cars2,cars2_finn,Finn,FINN,M,,False,True,True,120,926,0,
cars2,cars2_holley,Holley,HOLLEY,F,,False,True,True,112,840,0,
cars2,cars2_francesco,Francesco,FRANCESCO | FRANCESCO (CONT'D),M,,False,True,True,32,344,8,
cars2,cars2_professor_zundapp,Professor Zundapp,PROFESSOR ZUNDAPP,M,,False,True,True,30,301,0,
cars2,cars2_grem,Grem,GREM,M,,False,True,True,27,168,0,
cars2,cars2_acer,Acer,ACER,M,,False,True,True,24,165,0,
cars2,cars2_miles_axlerod,Miles Axlerod,MILES AXLEROD,M,,False,True,True,22,244,0,
cars2,cars2_mater_s_computer,Mater'S Computer,MATER'S COMPUTER,Unknown,,False,False,False,15,38,0,
cars2,cars2_luigi,Luigi,LUIGI,M,,False,True,True,14,131,0,
cars2,cars2_sally,Sally,SALLY,F,,False,True,True,14,123,0,
cars2,cars2_uncle_topolino,Uncle Topolino,UNCLE TOPOLINO,M,,False,True,True,13,162,0,
cars2,cars2_engine_voice,Engine Voice,ENGINE VOICE,Unknown,,False,False,False,12,142,0,
cars2,cars2_tomber,Tomber,TOMBER,M,,False,True,True,12,126,0,
cars2,cars2_otis,Otis,OTIS,M,,False,True,True,10,91,0,
cars2,cars2_rod_redline,Rod Redline,ROD REDLINE,M,,False,True,True,9,90,0,
cars2,cars2_vladimir_trunkov,Vladimir Trunkov,VLADIMIR TRUNKOV,M,,False,True,True,9,60,0,
cars2,cars2_sarge,Sarge,SARGE,M,,False,True,True,8,129,0,
cars2,cars2_fillmore,Fillmore,FILLMORE,M,,False,True,True,7,65,0,
cars2,cars2_flo,Flo,FLO,F,,False,True,True,7,63,0,
cars2,cars2_alexander_hugo,Alexander Hugo,ALEXANDER HUGO,M,,False,True,True,6,58,0,
cars2,cars2_brent_mustangburger,Brent Mustangburger,BRENT MUSTANGBURGER,M,,False,True,True,6,108,0,
cars2,cars2_crabby,Crabby,CRABBY,M,,False,True,True,6,80,0,
cars2,cars2_tubbs_pacer,Tubbs Pacer,TUBBS PACER,M,,False,True,True,6,32,0,
cars2,cars2_press_liaison,Press Liaison,PRESS LIAISON,Unknown,,False,False,False,5,33,0,
cars2,cars2_victor_hugo,Victor Hugo,VICTOR HUGO,M,,False,True,True,5,27,0,
cars2,cars2_combat_ship,Combat Ship,COMBAT SHIP,Unknown,,False,False,False,4,21,0,
cars2,cars2_darrell_cartrip,Darrell Cartrip,DARRELL CARTRIP,M,,False,True,False,4,64,0,
cars2,cars2_lewis_hamilton,Lewis Hamilton,LEWIS HAMILTON,M,,False,True,False,4,29,0,
cars2,cars2_queen,Queen,QUEEN,F,,False,True,False,4,24,0,
cars2,cars2_ramone,Ramone,RAMONE,M,,False,True,False,4,33,0,
cars2,cars2_siddeley,Siddeley,SIDDELEY,M,,False,True,False,4,11,0,
cars2,cars2_guido,Guido,GUIDO,M,,False,True,False,3,8,0,
cars2,cars2_jeff_gorvette,Jeff Gorvette,JEFF GORVETTE,M,,False,True,False,3,17,0,
cars2,cars2_nosy_pacer,Nosy Pacer,NOSY PACER,M,,False,False,False,3,22,0,
cars2,cars2_sheriff,Sheriff,SHERIFF,M,,False,True,False,3,26,0,
cars2,cars2_van,Van,VAN,M,,False,True,False,3,30,0,
cars2,cars2_lizzie,Lizzie,LIZZIE,F,,False,True,False,2,14,0,
cars2,cars2_mack,Mack,MACK,M,,False,True,False,2,16,0,
cars2,cars2_mama_topolino,Mama Topolino,MAMA TOPOLINO,F,,False,True,False,2,10,0,
cars2,cars2_minny,Minny,MINNY,F,,False,True,False,2,8,0,
cars2,cars2_queen_s_guards,Queen'S Guards,QUEEN'S GUARDS,M,,False,False,False,2,22,0,
cars2,cars2_security_car,Security Car,SECURITY CAR,M,,False,False,False,2,8,0,
cars2,cars2_sushi_chef,Sushi Chef,SUSHI CHEF,M,,False,False,False,2,5,0,
cars2,cars2_voice,Voice,VOICE,Unknown,,False,False,False,2,8,0,
